abbey {1>a|b>bb|i0>ey
minneapolis m>m|I2>i|n>nn|i0>e|{1>a|p>p|V0>o|l>l|I0>i|s>s
minnesota m>m|I2>i|n>nn|I0>e|s>s|@U1>o|t>t|V0>a
mint m>m|I1>i|n>n|t>t
minute m>m|I1>i|n>n|V0>u|t>te
miracle m>m|I1>i|r>r|V0>a|k>c|V0;l>le
mirror m>m|I1>i|r>rr|r=0>or
miss m>m|I1>i|s>ss
missile m>m|I1>i|s>ss|I0>i|l>le
mission m>m|I1>i|S>ssi|V0>o|n>n
missionary m>m|I1>i|S>ssi|V0>o|n>n|E2>a|r>r|i0>y
mississippi m>m|I2>i|s>ss|I0>i|s>ss|I1>i|p>pp|i0>i
missive m>m|I1>i|s>ss|I0>i|v>ve
missouri m>m|I0>i|z>ss|U1>ou|r>r|i0>i
mist m>m|I1>i|s>s|t>t
mistake m>m|I0>i|s>s|t>t|EI1>a|k>ke
mister m>m|I1>i|s>s|t>t|r=0>er
mitchell m>m|I1>i|tS>tch|E0>e|l>ll
mitten m>m|I1>i|t>tt|E0>e|n>n
mixer m>m|I1>i|k;s>x|r=0>er
mixture m>m|I1>i|k;s>x|tS>t|r=0>ure
mobile m>m|@U1>o|b>b|I0>i|l>le
mode m>m|@U1>o|d>de
model m>m|A1>o|d>d|E0>e|l>l
molar m>m|@U1>o|l>l|r=0>ar
mold m>m|@U1>o|l>l|d>d
mole m>m|@U1>o|l>le
molecule m>m|A1>o|l>l|E0>e|k>c|j;u2>u|l>le
mollusk m>m|A1>o|l>ll|V0>u|s>s|k>k
molly m>m|A1>o|l>ll|i0>y
mom m>m|A1>o|m>m
moment m>m|@U1>o|m>m|E0>e|n>n|t>t
mommy m>m|A1>o|m>mm|i0>y
monarch m>m|A1>o|n>n|A2>a|r>r|k>ch
monarchy m>m|A1>o|n>n|A0>a|r>r|k>ch|i0>y
monastery m>m|A1>o|n>n|V0>a|s>s|t>t|E2>e|r>r|i0>y
monday m>m|V1>o|n>n|d>d|EI2>ay
money m>m|V1>o|n>n|i0>ey
mongoose m>m|A1>o|n>n|g>g|u0>oo|s>se
monica m>m|A1>o|n>n|I0>i|k>c|V0>a
monitor m>m|A1>o|n>n|I0>i|t>t|r=0>or
monk m>m|V1>o|n>n|k>k
monkey m>m|V1>o|n>n|k>k|i0>ey
monocycle m>m|@U1>o|n>n|@U0>o|s>c|AI2>y|k>c|V0;l>le
monster m>m|A1>o|n>n|s>s|t>t|r=0>er
montana m>m|A0>o|n>n|t>t|{1>a|n>n|V0>a
month m>m|V1>o|n>n|T>th
montreal m>m|V2>o|n>n|t>t|r>r|i0>e|O1>a|l>l
monument m>m|A1>o|n>n|j;u0>u|m>m|E0>e|n>n|t>t
mood m>m|u1>oo|d>d
moon m>m|u1>oo|n>n
moose m>m|u1>oo|s>se
mop m>m|A1>o|p>p
morgan m>m|O1>o|r>r|g>g|V0>a|n>n
morning m>m|O1>o|r>r|n>n|I0>i|N>ng
morocco m>m|r=0>or|A1>o|k>cc|@U0>o
morris m>m|O1>o|r>rr|I0>i|s>s
mosaic m>m|@U0>o|z>s|EI1>a|I0>i|k>c
moscow m>m|A1>o|s>s|k>c|@U2>ow
moses m>m|@U1>o|z>s|I0>e|s>s
mosque m>m|A1>o|s>s|k>que
mosquito m>m|V0>o|s>s|k>qu|i1>i|t>t|@U0>o
moss m>m|O1>o|s>ss
moth m>m|O1>o|T>th
mother m>m|V1>o|D>th|r=0>er
motion m>m|@U1>o|S>ti|V0>o|n>n
motor m>m|@U1>o|t>t|r=0>or
motorbike m>m|@U1>o|t>t|r=0>or|b>b|AI2>i|k>ke
motorbus m>m|@U1>o|t>t|r=0>or|b>b|V2>u|s>s
motorcar m>m|@U1>o|t>t|r=0>or|k>c|A2>a|r>r
motorcoach m>m|@U1>o|t>t|r=0>or|k>c|@U2>oa|tS>ch
motorcycle m>m|@U1>o|t>t|r=0>or|s>c|AI2>y|k>c|V0;l>le
motortruck m>m|@U1>o|t>t|r=0>or|t>t|r>r|V2>u|k>ck
mount m>m|aU1>ou|n>n|t>t
mountain m>m|aU1>ou|n>n|t>t|V0>ai|n>n
mouse m>m|aU1>ou|s>se
mouth m>m|aU1>ou|T>th
move m>m|u1>o|v>ve
movement m>m|u1>o|v>ve|m>m|E0>e|n>n|t>t
movie m>m|u1>o|v>v|i0>ie
mucus m>m|j;u1>u|k>c|V0>u|s>s
mud m>m|V1>u|d>d
muffin m>m|V1>u|f>ff|I0>i|n>n
mug m>m|V1>u|g>g
mule m>m|j;u1>u|l>le
munich m>m|j;u1>u|n>n|I0>i|k>ch
murder m>m|r=1>ur|d>d|r=0>er
murray m>m|r=1>urr|i0>ay
muscle m>m|V1>u|s>sc|V0;l>le
muse m>m|j;u1>u|z>se
museum m>m|j;u1>u|z>s|i0>e|V0>u|m>m
mushroom m>m|V1>u|S>sh|r>r|u0>oo|m>m
music m>m|j;u1>u|z>s|I0>i|k>c
musician m>m|j;u0>u|z>s|I1>i|S>ci|V0>a|n>n
mutant m>m|j;u1>u|t>t|V0>a|n>n|t>t
mutton m>m|V1>u|t>tt|V0>o|n>n
muzzle m>m|V1>u|z>zz|V0;l>le
mystery m>m|I1>y|s>s|t>t|r=0>er|i0>y
myth m>m|I1>y|T>th
nail n>n|EI1>ai|l>l
name n>n|EI1>a|m>me
nancy n>n|{1>a|n>n|s>c|i0>y
nanna n>n|{1>a|n>nn|V0>a
nap n>n|{1>a|p>p
napkin n>n|{1>a|p>p|k>k|I0>i|n>n
naples n>n|EI1>a|p>p|V0;l>le|z>s
napoleon n>n|V0>a|p>p|@U1>o|l>l|i0>e|V0>o|n>n
narration n>n|E0>a|r>rr|EI1>a|S>ti|V0>o|n>n
narrative n>n|E1>a|r>rr|V0>a|t>t|I0>i|v>ve
nasa n>n|{1>a|s>s|V0>a
nash n>n|{1>a|S>sh
nat n>n|{1>a|t>t
nathan n>n|EI1>a|T>th|V0>a|n>n
nation n>n|EI1>a|S>ti|V0>o|n>n
native n>n|EI1>a|t>t|I0>i|v>ve
nature n>n|EI1>a|tS>t|r=0>ure
navy n>n|EI1>a|v>v|i0>y
neatherd n>n|i0>ea|t>t|h>h|r=1>er|d>d
nebraska n>n|E0>e|b>b|r>r|{1>a|s>s|k>k|V0>a
nebula n>n|E1>e|b>b|j;V0>u|l>l|V0>a
neck n>n|E1>e|k>ck
necklace n>n|E1>e|k>ck|l>l|V0>a|s>ce
nectarine n>n|E1>e|k>c|t>t|r=0>ar|i0>i|n>ne
ned n>n|E1>e|d>d
needle n>n|i1>ee|d>d|V0;l>le
neighborhood n>n|EI1>eigh|b>b|r=0>or|h>h|U2>oo|d>d
neil n>ne|i1>i|l>l
nelson n>n|E1>e|l>l|s>s|V0>o|n>n
neo n>n|i1>e|@U0>o
nepal n>n|E0>e|p>p|O1>a|l>l
nephew n>n|E1>e|f>ph|j;u0>ew
neptune n>n|E1>e|p>p|t>t|u0>u|n>ne
nerve n>n|r=1>er|v>ve
nest n>n|E1>e|s>s|t>t
net n>n|E1>e|t>t
netherlands n>n|E1>e|D>th|r=0>er|l>l|V0>a|n>n|d>d|z>s
network n>n|E1>e|t>t|w>w|r=2>or|k>k
nevada n>n|E0>e|v>v|{1>a|d>d|V0>a
newborn n>n|j;u1>ew|b>b|O0>o|r>r|n>n
news n>n|j;u1>ew|z>s
newspaper n>n|j;u1>ew|z>s|p>p|EI2>a|p>p|r=0>er
niche n>n|I1>i|tS>che
nicholas n>n|I1>i|k>ch|V0>o|l>l|V0>a|s>s
nick n>n|I1>i|k>ck
nickel n>n|I1>i|k>ck|E0>e|l>l
niece n>n|i1>ie|s>ce
nigeria n>n|AI0>i|dZ>g|I1>e|r>r|i0>i|V0>a
night n>n|AI1>igh|t>t
nighttime n>n|AI1>igh|t>t|t>t|AI2>i|m>me
nile n>n|AI1>i|l>le
nina n>n|i1>i|n>n|V0>a
ninja n>n|I1>i|n>n|dZ>j|V0>a
nitrogen n>n|AI1>i|t>t|r>r|V0>o|dZ>g|E0>e|n>n
noah n>n|@U1>o|V0>ah
noble n>n|@U1>o|b>b|V0;l>le
nobody n>n|@U1>o|b>b|V0>o|d>d|i0>y
nod n>n|A1>o|d>d
node n>n|@U1>o|d>de
noel n>n|@U0>o|E1>e|l>l
noise n>n|OI1>oi|z>se
none n>n|V1>o|n>ne
nonsense n>n|A1>o|n>n|s>s|E0>e|n>n|s>se
noodle n>n|u1>oo|d>d|V0;l>le
noodles n>n|u1>oo|d>d|V0;l>le|z>s
noon n>n|u1>oo|n>n
nora n>n|O1>o|r>r|V0>a
norm n>n|O1>o|r>r|m>m
norman n>n|O1>o|r>r|m>m|V0>a|n>n
north n>n|O1>o|r>r|T>th
northeast n>n|O2>o|r>r|T>th|i1>ea|s>s|t>t
northwest n>n|O2>o|r>r|T>th|w>w|E1>e|s>s|t>t
norton n>n|O1>o|r>r|t>t|V0>o|n>n
norway n>n|O1>o|r>r|w>w|EI2>ay
nose n>n|@U1>o|z>se
notch n>n|A1>o|tS>tch
note n>n|@U1>o|t>te
notebook n>n|@U1>o|t>te|b>b|U2>oo|k>k
notes n>n|@U1>o|t>te|s>s
nothing n>n|V1>o|T>th|I0>i|N>ng
notice n>n|@U1>o|t>t|I0>i|s>ce
notion n>n|@U1>o|S>ti|V0>o|n>n
noun n>n|aU1>ou|n>n
novel n>n|A1>o|v>v|E0>e|l>l
november n>n|@U0>o|v>v|E1>e|m>m|b>b|r=0>er
nuclear n>n|u1>u|k>c|l>l|i0>e|r=0>ar
nuke n>n|j;u1>u|k>ke
null n>n|V1>u|l>ll
number n>n|V1>u|m>m|b>b|r=0>er
nun n>n|V1>u|n>n
nurse n>n|r=1>ur|s>se
nursery n>n|r=1>ur|s>s|r=0>er|i0>y
nut n>n|V1>u|t>t
nutrient n>n|u1>u|t>t|r>r|i0>i|E0>e|n>n|t>t
nylon n>n|AI1>y|l>l|A2>o|n>n
oak @U1>oa|k>k
oar O1>oa|r>r
oat @U1>oa|t>t
oath @U1>oa|T>th
object V0>o|b>b|dZ>j|E1>e|k>c|t>t
objective V0>o|b>b|dZ>j|E1>e|k>c|t>t|I0>i|v>ve
observatory V0>o|b>b|z>s|r=1>er|v>v|V0>a|t>t|O2>o|r>r|i0>y
obstacle A1>o|b>b|s>s|t>t|V0>a|k>c|V0;l>le
occasion V0>o|k>cc|EI1>a|Z>si|V0>o|n>n
ocean @U1>o|S>ce|V0>a|n>n
oceanliner @U1>o|S>ce|V0>a|n>n|l>l|AI1>i|n>n|r=0>er
october A0>o|k>c|t>t|@U1>o|b>b|r=0>er
octopus A1>o|k>c|t>t|V0>o|p>p|U2>u|s>s
odor @U1>o|d>d|r=0>or
office O1>o|f>ff|I0>i|s>ce
officer O1>o|f>ff|I0>i|s>c|r=0>er
official V0>o|f>ff|I1>i|S>ci|V0>a|l>l
ogre @U1>o|g>g|r=0>re
ohio @U0>o|h>h|AI1>i|@U0>o
oil OI1>oi|l>l
oklahoma @U2>o|k>k|l>l|V0>a|h>h|@U1>o|m>m|V0>a
olive A1>o|l>l|I0>i|v>ve
oliver A1>o|l>l|I0>i|v>v|r=0>er
olympics @U0>o|l>l|I1>y|m>m|p>p|I0>i|k>c|s>s
omelet A1>o|m>me|l>l|E0>e|t>t
omelette A1>o|m>me|l>l|E0>e|t>tte
onion V1>o|n>n|j>i|V0>o|n>n
online O1>o|n>n|l>l|AI2>i|n>ne
onset A1>o|n>n|s>s|E2>e|t>t
ontario A0>o|n>n|t>t|E1>a|r>r|i0>i|@U0>o
opening @U1>o|p>p|E0>e|n>n|I0>i|N>ng
opera A1>o|p>pe|r>r|V0>a
operation A2>o|p>p|r=0>er|EI1>a|S>ti|V0>o|n>n
opinion V0>o|p>p|I1>i|n>n|j>i|V0>o|n>n
opossum @U0>o|p>p|A1>o|s>ss|V0>u|m>m
opportunity A2>o|p>pp|r=0>or|t>t|u1>u|n>n|I0>i|t>t|i0>y
opposition A2>o|p>pp|V0>o|z>s|I1>i|S>ti|V0>o|n>n
optic A1>o|p>p|t>t|I0>i|k>c
option A1>o|p>p|S>ti|V0>o|n>n
oracle O1>o|r>r|V0>a|k>c|V0;l>le
orang O0>o|r>r|{1>a|N>ng
orange O1>o|r>r|V0>a|n>n|dZ>ge
orangutan O0>o|r>r|{1>a|N>ng|V0>u|t>t|{1>a|n>n
orangutang O0>o|r>r|{1>a|N>ng|V0>u|t>t|{1>a|N>ng
orb O1>o|r>r|b>b
orbit O1>o|r>r|b>b|I0>i|t>t
orbiter O1>o|r>r|b>b|I0>i|t>t|r=0>er
orc O1>o|r>r|k>c
orca O1>o|r>r|k>c|V0>a
orchard O1>o|r>r|tS>ch|r=0>ar|d>d
orchestra O1>o|r>r|k>ch|E0>e|s>s|t>t|r>r|V0>a
order O1>o|r>r|d>d|r=0>er
ore O1>o|r>re
oregon O1>o|r>r|E0>e|g>g|V0>o|n>n
oreo O1>o|r>r|i0>e|@U0>o
organ O1>o|r>r|g>g|V0>a|n>n
organism O1>o|r>r|g>g|V0>a|n>n|I2>i|z>s|V0;m>m
organization O2>o|r>r|g>g|V0>a|n>n|I0>i|z>z|EI1>a|S>ti|V0>o|n>n
origami O2>o|r>r|i0>i|g>g|A1>a|m>m|i1>i
origin O1>o|r>r|I0>i|dZ>g|I0>i|n>n
ornament O1>o|r>r|n>n|V0>a|m>m|E0>e|n>n|t>t
oscar O1>o|s>s|k>c|r=0>ar
oslo A1>o|z>s|l>l|@U0>o
ostrich O1>o|s>s|t>t|r>r|I0>i|tS>ch
ottawa A1>o|t>tt|V0>a|w>w|A2>a
otter A1>o|t>tt|r=0>er
otto A1>o|t>tt|@U2>o
ounce aU1>ou|n>n|s>ce
outbreak aU1>ou|t>t|b>b|r>re|EI2>a|k>k
outcome aU1>ou|t>t|k>c|V2>o|m>me
outfit aU1>ou|t>t|f>f|I2>i|t>t
outlet aU1>ou|t>t|l>l|E2>e|t>t
output aU1>ou|t>t|p>p|U2>u|t>t
outside aU1>ou|t>t|s>s|AI1>i|d>de
oval @U1>o|v>v|V0>a|l>l
oven V1>o|v>v|E0>e|n>n
overall @U1>o|v>v|r=0>er|O2>a|l>ll
owen @U1>ow|E0>e|n>n
owl aU1>ow|l>l
owner @U1>ow|n>n|r=0>er
ox A1>o|k;s>x
oxford A1>o|k;s>x|f>f|r=0>or|d>d
oxherd A2>o|k;s>x|h>h|r=1>er|d>d
oxygen A1>o|k;s>x|I0>y|dZ>g|E0>e|n>n
oyster OI1>oy|s>s|t>t|r=0>er
ozone @U1>o|z>z|@U2>o|n>ne
pace p>p|EI1>a|s>ce
pacific p>p|V0>a|s>c|I1>i|f>f|I0>i|k>c
pack p>p|{1>a|k>ck
package p>p|{1>a|k>ck|V0>a|dZ>ge
pad p>p|{1>a|d>d
paddle p>p|{1>a|d>dd|V0;l>le
padlock p>p|{1>a|d>d|l>l|A2>o|k>ck
pagan p>p|EI1>a|g>g|V0>a|n>n
page p>p|EI1>a|dZ>ge
pagoda p>p|V0>a|g>g|@U1>o|d>d|V0>a
pain p>p|EI1>ai|n>n
paint p>p|EI1>ai|n>n|t>t
paintbrush p>p|EI1>ai|n>n|t>t|b>b|r>r|V2>u|S>sh
painter p>p|EI1>ai|n>n|t>t|r=0>er
painting p>p|EI1>ai|n>n|t>t|I0>i|N>ng
paints p>p|EI1>ai|n>n|t>t|s>s
pair p>p|E1>ai|r>r
pakistan p>p|{1>a|k>k|I0>i|s>s|t>t|{2>a|n>n
pal p>p|{1>a|l>l
palace p>p|{1>a|l>l|V0>a|s>ce
palestine p>p|{1>a|l>l|E0>e|s>s|t>t|AI2>i|n>ne
palette p>p|{1>a|l>l|E0>e|t>tte
palm p>p|A1>a|l>l|m>m
pan p>p|{1>a|n>n
panama p>p|{1>a|n>n|V0>a|m>m|A2>a
pancake p>p|{1>a|n>n|k>c|EI2>a|k>ke
panda p>p|{1>a|n>n|d>d|V0>a
pane p>p|EI1>a|n>ne
panel p>p|{1>a|n>n|E0>e|l>l
panic p>p|{1>a|n>n|I0>i|k>c
panther p>p|{1>a|n>n|T>th|r=0>er
pants p>p|{1>a|n>n|t>t|s>s
papa p>p|A1>a|p>p|V0>a
papaya p>p|V0>a|p>p|AI1>ay|V0>a
paper p>p|EI1>a|p>p|r=0>er
paperclip p>p|EI1>a|p>p|r=0>er|k>c|l>l|I2>i|p>p
papyrus p>p|V0>a|p>p|AI1>y|r>r|V0>u|s>s
parachute p>p|E1>a|r>r|V0>a|S>ch|u2>u|t>te
parade p>p|r=0>ar|EI1>a|d>de
paradise p>p|E1>a|r>r|V0>a|d>d|AI2>i|s>se
paradox p>p|E1>a|r>r|V0>a|d>d|A2>o|k;s>x
parallel p>p|E1>a|r>r|V0>a|l>ll|E2>e|l>l
parasol p>p|E1>a|r>r|V0>a|s>s|O0>o|l>l
parcel p>p|A1>a|r>r|s>c|E0>e|l>l
parent p>p|E1>a|r>r|E0>e|n>n|t>t
paris p>p|{1>a|r>r|I0>i|s>s
park p>p|A1>a|r>r|k>k
parker p>p|A1>a|r>r|k>k|r=0>er
parking p>p|A1>a|r>r|k>k|I0>i|N>ng
parkland p>p|A1>a|r>r|k>k|l>l|{2>a|n>n|d>d
parrot p>p|E1>a|r>rr|V0>o|t>t
parsley p>p|A1>a|r>r|s>s|l>l|i0>ey
part p>p|A1>a|r>r|t>t
particle p>p|A1>a|r>r|t>t|I0>i|k>c|V0;l>le
partner p>p|A1>a|r>r|t>t|n>n|r=0>er
party p>p|A1>a|r>r|t>t|i0>y
passage p>p|{1>a|s>ss|V0>a|dZ>ge
passenger p>p|{1>a|s>ss|E0>e|n>n|dZ>g|r=0>er
passion p>p|{1>a|S>ssi|V0>o|n>n
passport p>p|{1>a|s>ss|p>p|O2>o|r>r|t>t
password p>p|{1>a|s>ss|w>w|r=2>or|d>d
past p>p|{1>a|s>s|t>t
pasta p>p|A1>a|s>s|t>t|V0>a
paste p>p|EI1>a|s>s|t>te
pastor p>p|{1>a|s>s|t>t|r=0>or
pastry p>p|EI1>a|s>s|t>t|r>r|i0>y
pasture p>p|{1>a|s>s|tS>t|r=0>ure
pat p>p|{1>a|t>t
patch p>p|{1>a|tS>tch
path p>p|{1>a|T>th
patient p>p|EI1>a|S>ti|E0>e|n>n|t>t
patricia p>p|V0>a|t>t|r>r|I1>i|S>ci|V0>a
patrick p>p|{1>a|t>t|r>r|I0>i|k>ck
patrol p>p|V0>a|t>t|r>r|@U1>o|l>l
patron p>p|EI1>a|t>t|r>r|V0>o|n>n
pattern p>p|{1>a|t>tt|r=0>er|n>n
paul p>p|O1>au|l>l
paula p>p|O1>au|l>l|V0>a
pause p>p|O1>au|z>se
pavement p>p|EI1>a|v>ve|m>m|E0>e|n>n|t>t
paw p>p|O1>aw
pawn p>p|O1>aw|n>n
pay p>p|EI1>ay
payment p>p|EI1>ay|m>m|E0>e|n>n|t>t
pea p>p|i1>ea
peace p>p|i1>ea|s>ce
peach p>p|i1>ea|tS>ch
peacock p>p|i1>ea|k>c|A2>o|k>ck
peak p>p|i1>ea|k>k
peanut p>p|i1>ea|n>n|V0>u|t>t
peanutbutter p>p|i1>ea|n>n|V0>u|t>t|b>b|V1>u|t>tt|r=0>er
pear p>p|E1>ea|r>r
pearl p>p|r=1>ear|l>l
peasant p>p|E1>ea|z>s|V0>a|n>n|t>t
peckerwood p>p|E1>e|k>ck|r=0>er|w>w|U2>oo|d>d
pedro p>p|EI1>e|d>d|r>r|@U0>o
peer p>pe|I1>e|r>r
peg p>p|E1>e|g>g
pelvis p>p|E1>e|l>l|v>v|I0>i|s>s
pen p>p|E1>e|n>n
penalty p>p|E1>e|n>n|V0>a|l>l|t>t|i0>y
pencil p>p|E1>e|n>n|s>c|I0>i|l>l
pendant p>p|E1>e|n>n|d>d|V0>a|n>n|t>t
pendrive p>p|E1>e|n>n|d>d|r>r|AI2>i|v>ve
penguin p>p|E1>e|n>n|g>g|w>u|I0>i|n>n
penn p>p|E1>e|n>nn
pennsylvania p>p|E2>e|n>nn|s>s|I0>y|l>l|v>v|EI1>a|n>n|j>i|V0>a
penny p>p|E1>e|n>nn|i0>y
people p>p|i1>eo|p>p|V0;l>le
pepper p>p|E1>e|p>pp|r=0>er
pepperoni p>p|E2>e|p>pp|r=0>er|@U1>o|n>n|i0>i
percent p>p|r=0>er|s>c|E1>e|n>n|t>t
performance p>p|r=0>er|f>f|O1>o|r>r|m>m|V0>a|n>n|s>ce
performer p>p|r=0>er|f>f|O1>o|r>r|m>m|r=0>er
perfume p>p|r=0>er|f>f|j;u1>u|m>me
period p>p|I1>e|r>r|i0>i|V0>o|d>d
permission p>p|r=0>er|m>m|I1>i|S>ssi|V0>o|n>n
perry p>p|E1>e|r>rr|i0>y
persia p>p|r=1>er|Z>si|V0>a
persimmon p>p|r=0>er|s>s|i1>i|m>mm|V0>o|n>n
person p>p|r=1>er|s>s|V0>o|n>n
personality p>p|r=2>er|s>s|V0>o|n>n|{1>a|l>l|I0>i|t>t|i0>y
perspective p>p|r=0>er|s>s|p>p|E1>e|k>c|t>t|I0>i|v>ve
peru p>p|r=0>er|u1>u
pest p>p|E1>e|s>s|t>t
pet p>p|E1>e|t>t
pete p>p|i1>e|t>te
peter p>p|i1>e|t>t|r=0>er
petrol p>p|E1>e|t>t|r>r|@U0>o|l>l
petroleum p>p|E0>e|t>t|r>r|@U1>o|l>l|i0>e|V0>u|m>m
petrolstation p>p|E1>e|t>t|r>r|@U0>o|l>l|s>s|t>t|EI1>a|S>ti|V0>o|n>n
pharmacy f>ph|A1>a|r>r|m>m|V0>a|s>c|i0>y
pharynx f>ph|E1>a|r>r|I0>y|n>n|k;s>x
phase f>ph|EI1>a|z>se
phil f>ph|I1>i|l>l
philadelphia f>ph|I2>i|l>l|V0>a|d>d|E1>e|l>l|f>ph|i0>i|V0>a
philip f>ph|I1>i|l>l|I0>i|p>p
phillips f>ph|I1>i|l>ll|I0>i|p>p|s>s
philosopher f>ph|I0>i|l>l|A1>o|s>s|V0>o|f>ph|r=0>er
philosophy f>ph|I0>i|l>l|A1>o|s>s|V0>o|f>ph|i0>y
phoenix f>pho|i1>e|n>n|I0>i|k;s>x
phone f>ph|@U1>o|n>ne
photo f>ph|@U1>o|t>t|@U2>o
photocopier f>ph|@U1>o|t>t|@U2>o|k>c|A2>o|p>p|i0>i|r=0>er
photograph f>ph|@U1>o|t>t|V0>o|g>g|r>r|{2>a|f>ph
photography f>ph|V0>o|t>t|A1>o|g>g|r>r|V0>a|f>ph|i0>y
phrase f>ph|r>r|EI1>a|z>se
physician f>ph|I0>y|z>s|I1>i|S>ci|V0>a|n>n
physicist f>ph|I1>y|z>s|I0>i|s>c|I0>i|s>s|t>t
physics f>ph|I1>y|z>s|I0>i|k>c|s>s
piano p>p|i0>i|{1>a|n>n|@U0>o
pianoforte p>p|i0>i|{1>a|n>n|@U0>o|f>f|O2>o|r>r|t>t|EI0>e
pic p>p|I1>i|k>c
pickaxe p>p|AI1>i|k>ck|{1>a|k;s>xe
pickle p>p|I1>i|k>ck|V0;l>le
pickup p>p|I1>i|k>ck|V2>u|p>p
picnic p>p|I1>i|k>c|n>n|I2>i|k>c
picture p>p|I1>i|k>c|tS>t|r=0>ure
pie p>p|AI1>ie
piece p>p|i1>ie|s>ce
pier p>p|I1>i|r>er
pierre p>p|i0>i|E1>e|r>rre
pig p>p|I1>i|g>g
pigeon p>p|I1>i|dZ>ge|V0>o|n>n
pigment p>p|I1>i|g>g|m>m|E0>e|n>n|t>t
pike p>p|AI1>i|k>ke
pile p>p|AI1>i|l>le
pill p>p|I1>i|l>ll
pillar p>p|I1>i|l>ll|r=0>ar
pillow p>p|I1>i|l>ll|@U0>ow
pilot p>p|AI1>i|l>l|V0>o|t>t
pin p>p|I1>i|n>n
pine p>p|AI1>i|n>ne
pineapple p>p|AI1>i|n>ne|{2>a|p>pp|V0;l>le
pioneer p>p|AI2>i|V0>o|n>ne|I1>e|r>r
pipe p>p|AI1>i|p>pe
pirate p>p|AI1>i|r>r|V0>a|t>te
pistol p>p|I1>i|s>s|t>t|V0>o|l>l
piston p>p|I1>i|s>s|t>t|V0>o|n>n
pit p>p|I1>i|t>t
pitcher p>p|I1>i|tS>tch|r=0>er
pity p>p|I1>i|t>t|i0>y
pixel p>p|I1>i|k;s>x|E0>e|l>l
pizza p>p|i1>i|t;s>zz|V0>a
pizzeria p>p|i2>i|t;s>zz|r=0>er|i1>i|A0>a
place p>p|l>l|EI1>a|s>ce
plague p>p|l>l|EI1>a|g>gue
plan p>p|l>l|{1>a|n>n
plane p>p|l>l|EI1>a|n>ne
planet p>p|l>l|{1>a|n>n|E0>e|t>t
planning p>p|l>l|{1>a|n>nn|I0>i|N>ng
plant p>p|l>l|{1>a|n>n|t>t
plantation p>p|l>l|{2>a|n>n|t>t|EI1>a|S>ti|V0>o|n>n
plaque p>p|l>l|{1>a|k>que
plasma p>p|l>l|{1>a|z>s|m>m|V0>a
plastic p>p|l>l|{1>a|s>s|t>t|I0>i|k>c
plate p>p|l>l|EI1>a|t>te
plateau p>p|l>l|{0>a|t>t|@U1>eau
platypus p>p|l>l|{1>a|t>t|I0>y|p>p|V2>u|s>s
play p>p|l>l|EI1>ay
player p>p|l>l|EI1>ay|r=0>er
playground p>p|l>l|EI1>ay|g>g|r>r|aU2>ou|n>n|d>d
playhouse p>p|l>l|EI1>ay|h>h|aU2>ou|s>se
plaza p>p|l>l|{1>a|z>z|V0>a
pleasure p>p|l>l|E1>ea|Z>s|r=0>ure
pliers p>p|l>l|AI1>i|r=0>er|z>s
plot p>p|l>l|A1>o|t>t
plow p>p|l>l|aU1>ow
plug p>p|l>l|V1>u|g>g
plum p>p|l>l|V1>u|m>m
plumage p>p|l>l|u1>u|m>m|V0>a|dZ>ge
plumber p>p|l>l|V1>u|m>mb|r=0>er
pluto p>p|l>l|u1>u|t>t|@U0>o
pocket p>p|A1>o|k>ck|E0>e|t>t
poem p>p|@U1>o|E0>e|m>m
poet p>p|@U1>o|E0>e|t>t
poetry p>p|@U1>o|E0>e|t>t|r>r|i0>y
point p>p|OI1>oi|n>n|t>t
pointer p>p|OI1>oi|n>n|t>t|r=0>er
poison p>p|OI1>oi|z>s|V0>o|n>n
poland p>p|@U1>o|l>l|V0>a|n>n|d>d
polarbear p>p|@U1>o|l>l|A1>a|r>r|b>b|E2>ea|r>r
polaroid p>p|@U1>o|l>l|r=0>ar|OI2>oi|d>d
pole p>p|@U1>o|l>le
police p>p|V0>o|l>l|i1>i|s>ce
policecar p>p|V0>o|l>l|i1>i|s>ce|k>c|A1>a|r>r
policeman p>p|V0>o|l>l|i1>i|s>ce|m>m|V0>a|n>n
policewoman p>p|V0>o|l>l|i1>i|s>ce|w>w|U2>o|m>m|V0>a|n>n
policy p>p|A1>o|l>l|I0>i|s>c|i0>y
polish p>p|A1>o|l>l|I0>i|S>sh
politician p>p|A2>o|l>l|I0>i|t>t|I1>i|S>ci|V0>a|n>n
politics p>p|A1>o|l>l|I0>i|t>t|I2>i|k>c|s>s
poll p>p|@U1>o|l>ll
pollen p>p|A1>o|l>ll|E0>e|n>n
pollution p>p|V0>o|l>ll|u1>u|S>ti|V0>o|n>n
polly p>p|A1>o|l>ll|i0>y
pond p>p|A1>o|n>n|d>d
pony p>p|@U1>o|n>n|i0>y
poodle p>p|u1>oo|d>d|V0;l>le
pool p>p|u1>oo|l>l
pop p>p|A1>o|p>p
popcorn p>p|A1>o|p>p|k>c|O2>o|r>r|n>n
pope p>p|@U1>o|p>pe
population p>p|A2>o|p>p|j;V0>u|l>l|EI1>a|S>ti|V0>o|n>n
porch p>p|O1>o|r>r|tS>ch
porcupine p>p|O1>o|r>r|k>c|j;V0>u|p>p|AI2>i|n>ne
pore p>p|O1>o|r>re
